name,date,time,value
T2M,1/8/2009,3:00:00,288.391
D2M,1/8/2009,3:00:00,283.643
pm1,1/8/2009,6:00:00,9.69E-09
pm2p5,1/8/2009,6:00:00,1.31E-08
pm10,1/8/2009,6:00:00,1.82E-08
U10M,1/8/2009,6:00:00,-3.26735
V10M,1/8/2009,6:00:00,-0.749383
T2M,1/8/2009,6:00:00,287.484
D2M,1/8/2009,6:00:00,282.428
pm1,1/8/2009,9:00:00,1.10E-08
pm2p5,1/8/2009,9:00:00,1.41E-08
pm10,1/8/2009,9:00:00,1.95E-08
U10M,1/8/2009,9:00:00,-2.80755
V10M,1/8/2009,9:00:00,-0.266904
T2M,1/8/2009,9:00:00,288.273
D2M,1/8/2009,9:00:00,284.573
pm1,1/8/2009,12:00:00,3.41E-09
pm2p5,1/8/2009,12:00:00,4.16E-09
pm10,1/8/2009,12:00:00,5.81E-09
U10M,1/8/2009,12:00:00,-3.29605
V10M,1/8/2009,12:00:00,-1.06257
T2M,1/8/2009,12:00:00,287.314
D2M,1/8/2009,12:00:00,285.112
pm1,1/8/2009,15:00:00,5.69E-09
pm2p5,1/8/2009,15:00:00,6.99E-09
pm10,1/8/2009,15:00:00,9.68E-09
U10M,1/8/2009,15:00:00,-3.06066
V10M,1/8/2009,15:00:00,-0.682634
T2M,1/8/2009,15:00:00,286.976
D2M,1/8/2009,15:00:00,284.783
pm1,1/8/2009,18:00:00,6.77E-09
pm2p5,1/8/2009,18:00:00,8.39E-09
pm10,1/8/2009,18:00:00,1.16E-08
U10M,1/8/2009,18:00:00,-2.4158
V10M,1/8/2009,18:00:00,-0.0411338
T2M,1/8/2009,18:00:00,287.675
D2M,1/8/2009,18:00:00,284.486
pm1,1/8/2009,21:00:00,7.12E-09
pm2p5,1/8/2009,21:00:00,8.84E-09
pm10,1/8/2009,21:00:00,1.22E-08
U10M,1/8/2009,21:00:00,-0.689324
V10M,1/8/2009,21:00:00,0.309282
T2M,1/8/2009,21:00:00,287.189
D2M,1/8/2009,21:00:00,284.495
pm1,1/9/2009,0:00:00,5.94E-10
pm2p5,1/9/2009,0:00:00,7.91E-10
pm10,1/9/2009,0:00:00,1.07E-09
U10M,1/9/2009,0:00:00,0.183995
V10M,1/9/2009,0:00:00,-1.76189
T2M,1/9/2009,0:00:00,289.505
D2M,1/9/2009,0:00:00,284.871
pm1,1/9/2009,3:00:00,4.11E-10
pm2p5,1/9/2009,3:00:00,5.44E-10
